id;login;email;mobile_phone;is_email_notify;is_phone_notify
1;Tasty Plastic Bike Buckinghamshire;Bernardo.Koepp38@hotmail.com;Face to face firewall;true;true
2;Executive Focused;Maeve30@hotmail.com;Branding;true;true
3;Small Rubber Chair networks;Maximillian70@gmail.com;Unbranded Washington 5th generation;false;true
4;Northern Mariana Islands magenta Licensed;Alvina.Lockman@hotmail.com;Engineer;true;false
5;invoice;Orin_Gislason@yahoo.com;Books Flats;true;false
6;expedite;Maritza_Runte21@yahoo.com;modular;true;true
7;Rustic Palestinian Territory;Mayra61@hotmail.com;Berkshire Western Sahara Accountability;false;true
8;technologies programming Pennsylvania;Karina65@hotmail.com;Coves;false;false
9;Ergonomic Checking Account;Trudie.Bogisich@yahoo.com;matrix;true;false
10;systematic;Alberto_Reilly58@yahoo.com;matrix;false;true
